Название|Адрес|Долгота|Широта
Регионфарм, ООО, сеть аптек|Первомайская, 104/1|83.10971959132|54.966655794563
Регионфарм, ООО, сеть аптек|Вилюйская, 25|83.007986122178|54.999485225693
Регионфарм, ООО, сеть аптек|Новоуральская, 12/1|82.963168153008|55.176846862238
Юникум, аптека|Дуси Ковальчук, 378а|82.924164594001|55.063110910106
ФэмилиФарм|Авиастроителей, 13|82.973413009877|55.073234477261
Аптечный пункт, МУП|Ленина, 30|82.637035034542|54.692633086367
Галатея, аптека|Северный микрорайон, 18/1|83.097520458481|54.769417929065
Орхидея, сеть аптек|Экваторная, 2а|83.097842484292|54.8886817156
Орхидея, сеть аптек, Офис|Зелёная Горка, 1|83.10526021542|54.895346706673
Орхидея, сеть аптек|Российская, 10а|83.090639985642|54.869758878272
Оранжевая, аптека|Одоевского, 1/9|83.105051417455|54.938132474358
